Date,Close,adj close after change position,adj weight,position,total value,equity
2021-01-11,3799.610107421875,3799.610107421875,0,14.545829701342916,55268.48155405986,55268.48155405986
2021-01-12,3801.18994140625,3801.18994140625,0,14.545829701342916,55291.46155015297,55291.46155015297
2021-01-13,3809.840087890625,3809.840087890625,0,14.545829701342916,55417.285107806354,55417.285107806354
2021-01-14,3795.5400390625,3795.5400390625,0,14.545829701342916,55209.27903283156,55209.27903283156
2021-01-15,3768.25,3768.25,0,14.545829701342916,54812.32277208544,54812.32277208544
2021-01-19,3798.909912109375,3798.909912109375,0,14.545829701342916,55258.296632286554,55258.296632286554
2021-01-20,3851.85009765625,3851.85009765625,0,14.545829701342916,56028.35555560889,56028.35555560889
2021-01-21,3853.070068359375,3853.070068359375,0,14.545829701342916,56046.10104169718,56046.10104169718
2021-01-22,3841.469970703125,3841.469970703125,0,14.545829701342916,55877.367996670415,55877.367996670415
2021-01-25,3855.360107421875,3855.360107421875,0,14.545829701342916,56079.41155990972,56079.41155990972
2021-01-26,3849.6201171875,3849.6201171875,0,14.545829701342916,55995.91863947313,55995.91863947313
2021-01-27,3750.77001953125,3750.77001953125,0,14.545829701342916,54558.0619530042,54558.0619530042
2021-01-28,3787.3798828125,3787.3798828125,0,14.545829701342916,55090.58278968271,55090.58278968271
2021-01-29,3714.239990234375,3714.239990234375,0,14.545829701342916,54026.70236786679,54026.70236786679
2021-02-01,3773.860107421875,3773.860107421875,0,14.545829701342916,54893.926439250274,54893.926439250274
2021-02-02,3826.31005859375,3826.31005859375,0,14.545829701342916,55656.85449684012,55656.85449684012
2021-02-03,3830.169921875,3830.169921875,0,14.545829701342916,55712.999410799646,55712.999410799646
2021-02-04,3871.739990234375,3871.739990234375,0,14.545829701342916,56317.6705458283,56317.6705458283
2021-02-05,3886.830078125,3886.830078125,0,14.545829701342916,56537.16839446363,56537.16839446363
2021-02-08,3915.590087890625,3915.590087890625,0,14.545829701342916,56955.50659872337,56927.02884542401
2021-02-09,3911.22998046875,3926.22998046875,1,14.4919120476109,56681.20087493202,56681.20087493202
2021-02-10,3909.8798828125,3909.8798828125,0,14.4919120476109,56661.63537844196,56661.63537844196
2021-02-11,3916.3798828125,3916.3798828125,0,14.4919120476109,56755.83280675143,56755.83280675143
2021-02-12,3934.830078125,3934.830078125,0,14.4919120476109,57023.211414481426,57023.211414481426
2021-02-16,3932.590087890625,3932.590087890625,0,14.4919120476109,56990.74967301735,56990.74967301735
2021-02-17,3931.330078125,3931.330078125,0,14.4919120476109,56972.489722314785,56972.489722314785
2021-02-18,3913.969970703125,3913.969970703125,0,14.4919120476109,56720.908572419896,56720.908572419896
2021-02-19,3906.7099609375,3906.7099609375,0,14.4919120476109,56615.69714943166,56615.69714943166
2021-02-22,3876.5,3876.5,0,14.4919120476109,56177.897052563654,56177.897052563654
2021-02-23,3881.3701171875,3881.3701171875,0,14.4919120476109,56248.47436250646,56248.47436250646
2021-02-24,3925.429931640625,3925.429931640625,0,14.4919120476109,56886.9853183952,56886.9853183952
2021-02-25,3829.340087890625,3829.340087890625,0,14.4919120476109,55494.45975410153,55494.45975410153
2021-02-26,3811.14990234375,3811.14990234375,0,14.4919120476109,55230.84918502649,55230.84918502649
2021-03-01,3901.820068359375,3901.820068359375,0,14.4919120476109,56544.83325626721,56544.83325626721
